IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
2840,quindio,armenia,Institución universitaria/Escuela Tecnológica,No oficial,7.04,8.0,5.66,8.73,6.57,0.96,Bajo,True
2701,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,6.3,7.94,11.48,8.45,6.74,1.64,Bajo,True
1204,santander,bucaramanga,Universidad,Oficial,6.52,7.93,7.92,8.29,7.13,1.41,Bajo,True
1827,caldas,manizales,Universidad,No oficial,7.11,7.89,4.57,9.08,8.01,0.78,Bajo,True
1834,bolivar,cartagena de indias,Universidad,No oficial,6.5,7.88,8.49,8.51,8.29,1.38,Bajo,True
1724,bolivar,cartagena de indias,Universidad,No oficial,6.7,7.85,6.82,8.44,8.18,1.15,Bajo,True
1103,caldas,manizales,Universidad,Oficial,7.59,7.82,8.37,8.57,7.52,0.23,Bajo,True
2712,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,6.18,7.81,6.84,8.31,8.5,1.63,Bajo,True
1720,narino,pasto,Universidad,No oficial,3.9,7.59,5.83,7.74,7.4,3.69,Bajo,True
1835,bogota d c,bogota dc,Universidad,No oficial,5.31,7.58,4.74,7.96,6.64,2.27,Bajo,True
2832,santander,bucaramanga,Universidad,No oficial,6.12,7.53,6.33,8.22,8.3,1.41,Bajo,True
1716,valle del cauca,cali,Universidad,No oficial,5.47,7.51,5.42,8.01,10.98,2.04,Bajo,True
3901,sucre,covenas,Institución tecnológica,Oficial,6.01,7.5,10.34,8.43,8.02,1.49,Bajo,True
1121,bogota d c,bogota dc,Universidad,Oficial,6.12,7.46,6.56,8.14,6.11,1.34,Bajo,True
1106,boyaca,tunja,Universidad,Oficial,4.96,7.46,6.07,7.84,5.67,2.5,Bajo,True
1832,bolivar,cartagena de indias,Universidad,No oficial,5.54,7.41,7.19,8.0,7.7,1.87,Bajo,True
2114,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,Oficial,5.62,7.4,6.08,8.19,5.79,1.78,Bajo,True
1833,cordoba,monteria,Universidad,No oficial,5.13,7.37,7.43,7.71,5.56,2.24,Bajo,True
1215,cundinamarca,girardot,Universidad,Oficial,4.35,7.33,6.09,8.15,6.02,2.98,Bajo,True
2708,antioquia,medellin,Universidad,No oficial,5.84,7.3,5.88,7.89,5.74,1.46,Bajo,True
1730,valle del cauca,palmira,Universidad,No oficial,3.79,7.25,7.24,8.03,7.99,3.46,Bajo,True
2805,atlantico,barranquilla,Universidad,No oficial,5.32,7.24,6.55,7.98,6.22,1.92,Bajo,True
1206,narino,pasto,Universidad,Oficial,5.39,7.16,5.73,8.04,5.36,1.77,Bajo,True
2825,bolivar,cartagena de indias,Institución universitaria/Escuela Tecnológica,No oficial,5.16,7.14,5.73,7.83,5.66,1.98,Bajo,True
1212,norte de santander,pamplona,Universidad,Oficial,5.06,7.11,7.35,7.93,5.89,2.05,Bajo,True
1824,atlantico,barranquilla,Universidad,No oficial,2.68,7.11,2.67,8.54,2.63,4.43,Bajo,True
1210,norte de santander,ocana,Universidad,Oficial,4.91,7.08,5.53,8.0,5.15,2.17,Bajo,True
2746,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,3.68,6.94,5.42,7.72,4.2,3.26,Bajo,True
1713,atlantico,barranquilla,Universidad,No oficial,3.72,6.88,4.5,7.78,5.27,3.16,Bajo,True
1712,antioquia,medellin,Universidad,No oficial,3.81,6.87,5.58,7.57,4.43,3.06,Bajo,True
