IES,DEPARTAMENTO,MUNICIPIO,CARACTER,ORIGEN,tasa_2023_2,pred_2024_1,real_2024_1,pred_2024_2,real_2024_2,tendencia,nivel_riesgo,en_aumento
2841,antioquia,bello,Institución universitaria/Escuela Tecnológica,No oficial,10.51,10.94,10.05,11.58,12.33,0.43,Medio,True
2847,santander,bucaramanga,Universidad,No oficial,10.7,10.86,14.81,11.28,13.1,0.16,Medio,True
1301,bogota d c,bogota dc,Universidad,Oficial,16.78,10.84,20.23,12.27,16.03,-5.94,Medio,False
9121,bolivar,cartagena de indias,Institución universitaria/Escuela Tecnológica,No oficial,10.58,10.7,11.77,11.39,17.74,0.12,Medio,True
4110,tolima,espinal,Institución técnica profesional,Oficial,7.17,10.69,14.71,10.48,15.3,3.52,Medio,True
4108,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,Oficial,9.7,10.66,12.92,11.55,10.96,0.96,Medio,True
3117,atlantico,barranquilla,Institución universitaria/Escuela Tecnológica,Oficial,6.7,10.65,15.43,10.81,6.24,3.95,Medio,True
2743,casanare,yopal,Universidad,Oficial,7.44,10.64,9.89,11.26,6.44,3.2,Medio,True
2739,antioquia,apartado,Institución universitaria/Escuela Tecnológica,No oficial,0.0,10.62,100.0,19.82,91.54,10.62,Medio,True
1735,bogota d c,bogota dc,Universidad,No oficial,9.87,10.47,14.92,11.21,14.52,0.6,Medio,True
9105,bolivar,cartagena de indias,Universidad,Oficial,10.01,10.45,14.23,12.18,13.04,0.44,Medio,True
1202,atlantico,puerto colombia,Universidad,Oficial,8.0,10.44,9.98,15.96,9.66,2.44,Medio,True
1219,antioquia,el carmen de viboral,Universidad,Oficial,3.18,10.43,10.42,10.63,11.42,7.25,Medio,True
4709,quindio,armenia,Institución universitaria/Escuela Tecnológica,No oficial,9.93,10.42,14.25,10.59,18.97,0.49,Medio,True
2737,risaralda,pereira,Institución universitaria/Escuela Tecnológica,No oficial,9.14,10.35,11.03,10.27,4.8,1.21,Medio,True
3831,cauca,popayan,Institución universitaria/Escuela Tecnológica,No oficial,9.18,10.31,9.1,11.11,8.6,1.13,Medio,True
1123,cesar,aguachica,Universidad,Oficial,7.61,10.29,13.21,10.73,14.15,2.68,Medio,True
2715,cauca,popayan,Institución universitaria/Escuela Tecnológica,No oficial,9.18,10.27,10.65,10.88,11.07,1.09,Medio,True
1818,bogota d c,bogota dc,Universidad,No oficial,9.27,10.25,9.92,11.18,9.78,0.98,Medio,True
9116,choco,quibdo,Institución universitaria/Escuela Tecnológica,No oficial,8.34,10.21,10.5,10.25,10.25,1.87,Medio,True
1102,antioquia,medellin,Universidad,Oficial,11.07,10.16,12.69,10.83,10.23,-0.91,Medio,False
2302,antioquia,envigado,Institución universitaria/Escuela Tecnológica,Oficial,9.84,10.15,9.78,10.47,9.07,0.31,Medio,True
1120,cesar,valledupar,Universidad,Oficial,7.15,10.1,8.68,10.47,10.61,2.95,Medio,True
9122,santander,bucaramanga,Universidad,No oficial,9.63,10.06,9.28,10.23,7.2,0.43,Medio,True
2710,bogota d c,bogota dc,Institución universitaria/Escuela Tecnológica,No oficial,8.72,10.02,9.18,10.91,12.56,1.3,Medio,True
1822,cundinamarca,girardot,Universidad,No oficial,8.71,10.01,10.77,10.87,10.83,1.3,Medio,True
1726,antioquia,rionegro,Universidad,No oficial,9.47,9.92,11.18,10.29,11.75,0.45,Bajo,True
1812,antioquia,medellin,Universidad,No oficial,8.94,9.89,10.71,10.34,10.14,0.95,Bajo,True
2828,huila,neiva,Institución universitaria/Escuela Tecnológica,No oficial,9.53,9.87,13.52,10.6,17.51,0.34,Bajo,True
1117,bogota d c,bogota dc,Universidad,Oficial,9.24,9.87,10.88,10.49,9.46,0.63,Bajo,True
1208,quindio,armenia,Universidad,Oficial,8.73,9.86,10.25,10.36,9.23,1.13,Bajo,True
1809,risaralda,pereira,Universidad,No oficial,11.42,9.82,8.99,10.59,9.42,-1.6,Bajo,False
1803,bogota d c,bogota dc,Universidad,No oficial,8.62,9.81,10.31,10.3,9.62,1.19,Bajo,True
1207,tolima,ibague,Universidad,Oficial,7.02,9.8,8.66,10.93,7.87,2.78,Bajo,True
1733,magdalena,santa marta,Universidad,No oficial,8.64,9.78,10.28,10.1,9.78,1.14,Bajo,True
1823,santander,bucaramanga,Universidad,No oficial,9.36,9.78,11.17,10.2,10.36,0.42,Bajo,True
2721,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,9.2,9.73,12.59,10.13,10.79,0.53,Bajo,True
1118,choco,quibdo,Universidad,Oficial,6.18,9.71,10.52,9.56,7.83,3.53,Bajo,True
1830,valle del cauca,cali,Universidad,No oficial,8.62,9.71,10.59,10.02,7.98,1.09,Bajo,True
9900,antioquia,medellin,Institución universitaria/Escuela Tecnológica,No oficial,9.33,9.65,16.82,10.11,15.5,0.32,Bajo,True
1825,caldas,manizales,Universidad,No oficial,9.11,9.64,11.6,10.03,13.08,0.53,Bajo,True
2206,valle del cauca,cali,Institución universitaria/Escuela Tecnológica,Oficial,8.51,9.64,9.32,10.02,8.51,1.13,Bajo,True
1831,tolima,ibague,Universidad,No oficial,8.81,9.6,8.72,9.73,9.3,0.79,Bajo,True
1718,bogota d c,bogota dc,Universidad,No oficial,8.32,9.6,8.43,9.88,10.23,1.28,Bajo,True
2211,bolivar,cartagena de indias,Institución universitaria/Escuela Tecnológica,Oficial,7.95,9.6,11.62,9.82,9.76,1.65,Bajo,True
4837,atlantico,barranquilla,Institución universitaria/Escuela Tecnológica,No oficial,8.71,9.45,11.24,9.8,5.28,0.74,Bajo,True
1706,bogota d c,bogota dc,Universidad,No oficial,8.87,9.41,7.11,10.01,11.3,0.54,Bajo,True
