IES;MUNICIPIO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
2114;Cali;MATRICULADOS;42;144;206;369;424;492;526;446;405;373;309;288;454;679;640;698;725;778;886;955;1024;1085;1264;1065;1346;1269;1503;1360;1399;1423;1571;1771;2008;2231;2350;2622;2745;2962;3206;3400;3348;3464;3409;3451;3398;3403;3452;3533;3542;3542;3393;3346;2832;3057
2206;Cali;MATRICULADOS;39;108;143;206;234;285;299;357;375;403;401;462;451;473;468;450;463;510;509;580;599;654;605;657;701;739;734;734;717;714;685;677;693;699;652;649;636;622;616;639;608;663;788;770;740;831;778;759;748;773;735;811;730;776
2301;Tuluá;MATRICULADOS;64;9;43;12;67;58;140;246;686;775;1114;1190;1515;1475;1719;1568;1896;1987;2777;2819;3098;3039;3196;3178;3320;3118;3518;3345;3723;3621;3869;3747;3688;3694;3853;3931;4019;4124;4216;4304;4251;3959;3828;3728;3887;3953;4247;4632;4832;4978;5238;5408;4963;5418
2731;Cali;MATRICULADOS;50;51;60;76;90;98;141;90;138;136;140;151;212;302;350;590;969;862;1266;1322;1376;1509;1549;1288;1074;706;1006;997;1176;970;1254;1326;1665;1534;1993;2399;2615;2752;2837;3722;4261;4343;4697;4786;4424;3554;3173;3394;3241;3150;2969;2531;1959;1756
2748;Cali;MATRICULADOS;;;;;;;;;;;;8;29;40;74;93;92;91;121;136;161;149;131;173;135;275;361;380;395;380;423;386;403;334;360;369;429;424;466;118;379;376;374;363;311;287;269;249;258;252;232;255;186;158
3301;Cali;MATRICULADOS;148;209;170;217;275;226;348;403;381;391;653;733;676;780;968;1346;1854;2224;2926;3877;4360;4755;4543;4636;4786;4237;4699;4448;4719;4412;4927;5217;5840;6091;6497;6656;6960;7013;7211;7118;7416;7311;7611;8336;8583;8370;9366;11113;11270;11680;12233;12811;11261;12425
3706;Cali;MATRICULADOS;;;;;;;;;;;;597;1219;1569;1833;2154;2774;2766;3034;3274;3217;3904;3801;3554;3484;3327;3068;2797;2740;2547;2351;2091;2678;2791;2885;3048;3265;3573;3746;3750;3992;3790;3709;3428;3161;2369;2214;1995;1773;1515;1371;1285;1012;888
3715;Cali;MATRICULADOS;114;103;55;63;72;122;100;105;40;;;;;;;;;;418;445;369;346;272;292;309;378;554;480;487;577;583;850;1037;1090;1407;1468;1519;1699;1503;1385;1300;1197;1196;1047;1051;926;902;753;702;763;1;480;341;
3801;Cartago;MATRICULADOS;204;158;121;89;79;30;10;8;38;33;34;46;49;43;114;153;1;139;71;172;12;19;31;101;144;236;305;390;447;523;399;456;471;452;455;444;479;486;483;433;465;462;482;488;465;380;436;410;450;438;468;444;329;315
3803;Cali;MATRICULADOS;;;;;;;;;;;;;;1;141;223;238;247;337;562;769;888;969;922;1007;940;650;667;748;784;854;860;940;1029;1108;1224;1285;1201;1251;1164;1110;984;999;887;850;652;671;635;564;515;554;555;442;431
3805;Cali;MATRICULADOS;13;42;54;76;94;119;124;158;153;174;179;180;188;149;168;149;102;83;13;11;18;30;65;45;31;41;18;20;29;37;64;73;65;62;52;40;26;14;;;;;;;;;;;;;;;;
3806;Cali;MATRICULADOS;;;;;;;;;;;;;;;;;;;107;100;119;182;166;164;160;217;210;270;267;465;569;556;816;744;689;522;444;344;376;283;379;340;351;350;346;217;242;216;189;169;206;196;156;148
4101;Roldanillo;MATRICULADOS;170;422;528;677;732;758;723;733;729;774;662;641;592;549;588;572;848;912;1167;1363;1446;1433;1408;1124;1261;1007;948;810;966;800;1025;966;956;938;1188;1555;1781;1635;1866;1842;2284;2267;2583;2544;2243;2406;3342;3109;3687;3315;3895;3885;2406;2835
4107;Guadalajara de Buga;MATRICULADOS;;;;;;;;;3;4;4;1;2;91;2;53;2;95;149;69;14;188;129;153;212;182;282;195;300;312;454;372;263;102;198;179;266;300;641;325;494;548;1034;875;593;625;604;564;552;918;1063;1161;657;1165
4109;Cali;MATRICULADOS;;;;;;;;;;;;;;;;;;;429;375;545;532;903;1148;1395;1113;1372;1168;1383;1766;1507;1585;1939;1301;1569;1052;1161;733;709;843;732;729;979;874;918;869;1152;1801;1759;1673;1723;1718;1097;1132
4701;Cali;MATRICULADOS;481;353;415;445;492;574;592;626;685;836;972;1136;1299;1419;1529;1645;1707;1768;1853;2056;2150;2069;2121;2142;2122;2182;2196;2232;2923;2794;3265;3177;3040;3224;3065;2861;2649;2400;2205;2013;2032;1980;1987;1920;1848;1221;1502;1400;1439;1491;1487;1477;1132;1130
4808;Cali;MATRICULADOS;;;;;;;;;;;;;;;;;;;31;37;20;23;32;42;66;83;130;195;262;273;222;156;42;34;92;138;218;189;218;;20;6;381;406;245;63;13;47;105;170;93;156;79;208
4811;Cali;MATRICULADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;16;14;;10;9;8;19;17;40;65;74;119;152;166;246;288;300;152;167;124;50;;79;79;56;82
9103;Cali;MATRICULADOS;111;82;147;126;200;179;307;231;284;263;285;271;375;359;403;388;419;390;473;438;516;447;477;449;501;466;498;463;507;487;552;519;704;634;739;691;775;731;678;640;606;544;523;484;417;400;490;474;538;507;555;;371;
9906;Cali;MATRICULADOS;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;118;125;131;125;147;145;159;163;173;149;172;167;158;163;166;171;177;168;156;138;132;89;58;60
