AREA;NUCLEO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Ciencias sociales y humanas;"LENGUAS MODERNAS, LITERATURA, LINGUISTICA Y AFINES";MATRICULADOS;399;639;962;1046;1217;1412;1633;1740;2036;2170;2209;2398;2329;2459;2508;2520;2657;2642;2773;2762;2990;3030;3284;3307;3500;3364;3916;4232;4620;4547;4918;5049;5413;5502;6206;6791;7601;7256;7648;7625;8112;8007;8714;8661;8880;7920;9156;8905;10093;9897;9956;9352;8121;7926
Ciencias sociales y humanas;PSICOLOGIA;MATRICULADOS;5421;6856;9727;11058;13898;15543;17491;17691;22099;24747;26955;27540;28712;28362;27372;27546;29296;29968;31737;34556;35548;36240;38660;39199;41946;43363;46952;49201;55609;58358;64404;68028;74716;76563;85132;86934;96750;97261;104234;102504;109346;106025;109086;105550;105367;96626;102356;98123;100529;96963;94542;88155;76575;74928
Ciencias sociales y humanas;"FILOSOFIA, TEOLOGIA Y AFINES";MATRICULADOS;555;498;737;718;912;943;1359;1457;1668;1748;2046;2215;2562;2701;2910;2966;3092;3096;3440;3485;3827;3630;3628;3638;3730;3813;3972;4052;4181;4103;4197;4168;4396;4313;4326;4344;4457;4378;4576;4110;4502;4502;4693;4594;4655;4394;5184;4601;5187;5146;4928;5134;4210;4306
Ciencias sociales y humanas;"SOCIOLOGIA, TRABAJO SOCIAL Y AFINES";MATRICULADOS;1350;2072;2582;2530;3639;3470;4966;5307;6119;6701;7055;7820;8226;8663;9349;9171;10308;10278;10781;11411;12667;13394;14445;14927;16093;16970;17276;18576;19800;20309;21088;22609;24355;25377;27452;27692;30813;31346;32296;32767;34144;33713;36008;36932;38364;33205;39938;39099;40365;39479;39896;38529;32756;33378
"Economía, administración, contaduria y afines";ADMINISTRACION;MATRICULADOS;31316;35801;45836;48177;57364;61431;68363;71099;80517;84849;91344;92597;97486;98263;101506;98370;106919;108902;138356;148944;171968;175693;189709;202661;228401;236280;271387;273749;315283;323045;352323;371145;391564;396863;425239;430962;439663;458529;458220;477205;465526;483690;457358;477512;455145;467845;482190;504403;474503;478155;411076;410685;296630;317785
"Economía, administración, contaduria y afines";ECONOMIA;MATRICULADOS;5674;5930;8294;8635;11163;12494;14173;14971;16447;17529;18148;19007;19602;20175;20255;20875;21630;22194;26454;27587;30304;30554;33121;33399;35456;34871;39745;42864;46122;51742;55980;61951;62872;66154;69652;70122;69323;62431;59829;59973;54279;56573;51236;52061;47261;46306;45361;44584;43330;43529;40667;40507;33084;34231
"Economía, administración, contaduria y afines";CONTADURIA PUBLICA;MATRICULADOS;15773;17317;20490;21274;24312;27079;29235;31047;34763;37686;38670;40199;41247;42011;43462;43635;45439;45795;50850;52920;62974;65555;74252;79480;90729;91404;101250;103726;118084;126982;133720;142725;144049;146909;152850;154118;152490;157199;152502;150396;139365;138630;131446;128031;122678;110621;114753;111382;115365;111523;109704;105954;85539;89657
"Ingeniería, arquitectura, urbanismo y afines";ARQUITECTURA;MATRICULADOS;4297;4670;6222;6696;7973;8676;9637;9738;10699;11351;11409;11679;11820;11604;11804;11644;11895;11641;12585;12878;13854;14259;15049;15656;16586;17357;18921;19603;21104;22370;24534;26560;28773;29795;32526;32979;34223;34792;34795;34425;34177;34837;35533;34770;31605;30516;30807;29027;29716;28903;29013;28329;24416;24247
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA BIOMEDICA Y AFINES;MATRICULADOS;144;260;409;447;559;873;1175;1204;1566;1652;1764;1907;1942;1881;2058;1580;1976;1907;2057;1977;2183;2169;2470;2675;2733;2402;3178;3446;3889;4341;4570;4793;5074;5218;5653;5792;6357;6260;6808;6696;7045;7052;7148;6838;7046;6346;7235;7040;6866;6096;6590;6212;5317;5293
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";MATRICULADOS;2334;2567;3827;4235;5662;6000;7133;6820;7854;8177;8847;8726;8794;9564;9260;8852;9159;9068;11230;12109;13441;14843;16956;18754;19368;19963;29686;31535;39973;44547;53682;60612;64277;65545;71988;72132;70909;72482;69222;68573;60390;62966;57202;57168;47339;45455;40636;39847;33862;32130;30364;29253;23712;23735
