AREA;NUCLEO;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
Ciencias sociales y humanas;"BIBLIOTECOLOGIA, OTROS DE CIENCIAS SOCIALES Y HUMANAS";DESERTORES;0;0;3;5;11;8;19;32;56;46;49;57;61;62;75;81;46;83;92;169;118;155;210;152;143;208;311;236;287;839;2851;564;921;905;805;680;1908;1056;471;1289;421;1385;287;1392;449;1533;988;1494;670;1581;204;1434;240;801
Ciencias sociales y humanas;"CIENCIA POLITICA, RELACIONES INTERNACIONALES";DESERTORES;0;0;32;46;99;88;95;119;147;313;221;258;242;318;359;353;406;386;439;506;617;627;800;571;718;754;874;812;727;835;756;789;750;869;872;815;882;772;923;825;820;820;681;783;820;804;761;696;928;930;856;826;899;804
Ciencias sociales y humanas;"COMUNICACIÓN SOCIAL, PERIODISMO Y AFINES";DESERTORES;0;0;1397;508;831;638;842;932;1293;1073;1068;1338;1398;1569;1723;1847;1997;1924;2075;2504;2745;2816;3072;2982;2925;3015;3052;3228;3320;3643;3504;3436;3922;3809;4053;3905;4240;4456;4857;4605;4165;4522;4047;4050;3570;4836;4364;3148;3329;3965;3350;3409;3365;3112
Ciencias sociales y humanas;"DEPORTES, EDUCACION FISICA Y RECREACION";DESERTORES;0;0;196;84;89;78;123;185;491;220;257;327;286;220;372;347;309;487;420;648;611;496;692;526;735;554;650;527;801;777;790;721;1018;944;1018;927;1048;1109;1223;1203;1773;1310;1234;1692;1458;1624;1774;1238;1123;1941;1091;2559;1252;1640
Ciencias sociales y humanas;DERECHO Y AFINES;DESERTORES;0;0;5166;2201;5736;2713;3222;3800;5299;4419;5210;5577;7171;5890;7391;6388;6613;7877;7749;11547;6990;10089;8810;9505;8624;10223;10310;10915;10303;13241;9994;12708;11497;13392;12698;13740;12256;13107;14358;14928;13606;15200;13098;14062;13076;14956;13033;12224;12454;12920;11830;12376;11405;11802
Ciencias sociales y humanas;FORMACION RELACIONADA CON EL CAMPO MILITAR O POLICIAL;DESERTORES;0;0;21;35;52;48;28;42;9;19;32;67;57;70;36;33;25;39;22;38;305;1536;293;418;295;412;1374;394;546;2153;146;830;516;1652;518;5104;2508;366;507;418;396;328;311;256;394;553;295;199;546;446;441;376;549;397
Ciencias sociales y humanas;"GEOGRAFIA, HISTORIA";DESERTORES;0;0;124;42;68;50;136;108;147;165;205;234;204;254;268;278;281;185;308;437;416;347;385;381;387;329;395;403;380;397;427;516;433;408;433;413;456;406;584;466;407;426;446;483;503;465;359;322;471;362;403;399;411;342
Ciencias sociales y humanas;"LENGUAS MODERNAS, LITERATURA, LINGUISTICA Y AFINES";DESERTORES;0;0;43;76;149;108;152;155;135;97;192;288;139;277;198;319;222;249;248;458;335;293;348;359;317;408;374;487;460;560;624;526;591;616;644;614;689;763;1248;892;856;866;802;791;993;981;958;780;922;803;982;1086;988;855
Ciencias sociales y humanas;PSICOLOGIA;DESERTORES;0;0;1298;1139;1432;1231;1381;1743;2260;1626;2163;2630;2967;3065;3316;3586;2678;2595;2701;4733;2250;4824;3879;4283;4711;4741;4751;4529;5447;5413;6148;6563;6991;7791;8398;8107;8496;8296;9499;8962;9466;8398;9451;8777;8771;9147;8355;6626;7420;6945;8159;7906;7897;6406
Ciencias sociales y humanas;"FILOSOFIA, TEOLOGIA Y AFINES";DESERTORES;0;0;201;144;139;156;140;136;197;392;267;375;318;414;390;659;490;702;450;616;466;695;756;665;591;692;572;730;569;713;592;759;613;688;644;806;622;679;665;673;708;634;607;741;717;741;575;666;747;742;746;847;656;761
Ciencias sociales y humanas;"SOCIOLOGIA, TRABAJO SOCIAL Y AFINES";DESERTORES;0;0;233;193;557;233;536;408;592;550;667;731;715;887;950;993;1067;1266;1327;1625;1289;1522;1583;1798;1715;1528;1672;1977;2071;2220;1881;2022;1818;2085;2293;2320;2414;2686;2932;3099;2705;2658;2733;2959;2809;3075;3000;2238;2869;3292;3111;3003;3007;3003
"Economía, administración, contaduria y afines";ADMINISTRACION;DESERTORES;0;0;7586;6339;7856;6956;8758;9903;9934;9464;10736;11128;12788;12134;13650;16165;16320;14392;15095;24128;21103;24414;31132;32054;29866;32299;32962;39154;40317;40637;44667;41730;50503;52125;58036;47112;61382;68460;62730;73356;55393;71281;45415;74050;43690;84452;52546;67558;45766;85459;48588;93291;44657;68732
"Economía, administración, contaduria y afines";ECONOMIA;DESERTORES;0;0;1459;1191;1262;1066;1198;1366;1819;1466;1426;1769;1776;2038;2093;2186;2271;2372;2398;3754;3377;3890;4241;4089;4281;4087;4665;4796;4778;4546;4897;4943;6408;6300;7426;6267;8663;10317;14443;9114;6527;9155;4261;7684;4330;6979;4593;5476;4081;5267;3672;5577;3507;4100
"Economía, administración, contaduria y afines";CONTADURIA PUBLICA;DESERTORES;0;0;3564;2501;3019;2808;2947;3594;3712;3384;3605;4462;4105;4455;4712;4610;5284;5147;5560;12222;8496;7398;9600;9661;9934;12010;10912;13996;14063;12142;13206;15096;16180;20087;17549;16261;18089;24119;18499;22753;18338;21694;13588;17678;13215;18423;17774;12714;12922;14837;14021;14534;13325;13427
"Ingeniería, arquitectura, urbanismo y afines";ARQUITECTURA;DESERTORES;0;0;748;450;637;551;747;790;857;782;791;1067;828;974;968;1007;1046;1041;1083;1142;1198;1288;1353;1420;1494;1590;1482;1503;1638;1877;1793;1848;1998;2044;2533;2335;3264;3274;2727;3977;3365;3533;2571;3286;2496;3803;2467;2760;2642;2901;2584;2314;2298;2190
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA BIOMEDICA Y AFINES;DESERTORES;0;0;30;63;96;45;92;167;207;181;262;266;236;337;296;253;336;221;279;265;345;311;367;298;355;421;431;374;481;531;570;686;613;606;579;626;597;647;835;682;806;693;795;702;749;610;490;393;547;495;602;452;543;458
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AMBIENTAL, SANITARIA Y AFINES";DESERTORES;0;0;571;428;579;545;1091;644;919;781;838;913;1103;999;1033;1326;1061;953;996;1363;1459;1536;1846;1971;2317;4731;2394;2412;3706;3747;4952;3808;7279;6472;8049;6053;10248;9086;6394;10227;7375;10083;4115;7979;4276;8243;3179;5797;2773;5478;2568;4003;2885;3217
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA ADMNISTRATIVA Y AFINES;DESERTORES;0;0;1142;481;355;312;317;439;847;390;441;445;475;478;498;450;428;443;391;550;434;484;521;464;1084;791;1026;589;543;428;759;820;392;413;595;315;353;381;503;498;441;401;333;343;400;365;309;229;331;318;275;249;265;220
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGRICOLA, FORESTAL Y AFINES";DESERTORES;0;0;52;49;114;108;158;123;160;136;146;370;169;230;303;365;371;325;344;394;419;524;551;659;800;680;855;721;733;701;905;880;1038;1023;861;679;805;892;703;1050;744;904;571;900;613;907;883;791;827;948;850;1198;973;1035
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGROINDUSTRIAL, ALIMENTOS Y AFINES";DESERTORES;0;0;350;317;322;294;376;620;542;563;556;565;691;812;847;1504;960;807;876;1337;867;1069;1076;1002;905;958;1162;1125;1081;1146;1108;1047;915;1115;1124;1057;1148;1074;1387;1270;1018;1366;1229;1792;1268;2170;1090;1803;1325;2866;1543;3611;1515;2665
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA AGRONOMICA, PECUARIA Y AFINES";DESERTORES;0;0;142;154;244;249;278;289;380;389;367;391;367;488;482;642;553;433;442;558;621;494;568;565;585;687;664;634;727;770;810;706;1025;816;921;880;811;800;819;946;750;784;699;858;679;857;1405;763;559;1362;585;1801;753;1195
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA CIVIL Y AFINES;DESERTORES;0;0;774;1083;1171;1191;1365;1539;1847;1502;1424;1665;2151;1623;1924;1889;1905;1791;1789;2041;2709;2233;2854;2630;3047;3055;3304;3376;3321;4148;4279;4386;5755;5228;6083;5131;6436;6221;6292;8463;6479;7905;5096;6484;4759;6393;4224;4930;4344;4390;4424;4618;4612;3892
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA DE MINAS, METALURGIA Y AFINES";DESERTORES;0;0;88;94;179;164;116;290;225;227;304;331;292;408;297;381;409;383;380;531;419;362;392;332;488;482;539;425;601;556;691;674;782;965;618;1054;1470;1292;966;1099;909;945;584;889;576;898;329;666;443;802;494;733;460;720
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA DE SISTEMAS, TELEMATICA Y AFINES";DESERTORES;0;0;3940;3234;4496;4158;5506;5876;7407;6472;7454;7797;9286;9131;9272;10037;10037;8583;9891;10322;11209;12104;13707;12864;14282;13534;13991;14630;14908;15288;14810;12546;19157;16109;17464;14321;22911;23370;21143;23679;17149;22226;11895;25045;10527;28208;15645;22768;12886;29972;15376;36796;15813;29551
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA ELECTRICA Y AFINES;DESERTORES;0;0;162;200;318;339;451;371;540;506;709;576;555;639;713;811;784;687;805;974;1272;1178;1048;1027;1234;1126;1333;1357;1290;2010;3778;2048;2398;2192;2676;2539;3482;3464;1999;2892;2016;3316;1357;2803;1300;3054;1157;2800;1267;3050;1201;2983;1502;2132
"Ingeniería, arquitectura, urbanismo y afines";"INGENIERIA ELECTRONICA, TELECOMUNICACIONES Y AFINES";DESERTORES;0;0;1040;1135;1507;1597;2515;2515;4084;3268;3425;3554;4640;4264;4049;4008;5362;4342;4751;5533;5233;5672;6524;5947;7328;6567;7146;6250;7550;6820;9113;7565;8408;7018;7616;6609;7295;7126;8139;6961;6669;6371;5478;5781;5283;6330;4902;5075;4149;7383;4892;7335;5499;6022
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA INDUSTRIAL Y AFINES;DESERTORES;0;0;2171;1569;1927;1919;2367;2399;2743;2311;2719;3079;2882;3088;3445;3593;3712;3447;3844;6156;5529;6199;7864;6679;8330;8833;9733;9864;10405;11171;11851;12363;12414;13958;12763;12235;12794;12776;15417;12484;12533;11916;10560;11216;11110;11903;10082;9404;8869;9981;8995;9973;9404;9043
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA MECANICA Y AFINES;DESERTORES;0;0;633;651;939;716;1020;1023;1650;1210;1573;1384;1975;2083;1809;1636;2609;1922;2194;2081;2911;2861;4013;3169;3778;3579;3958;4338;4561;5384;5523;5476;5785;5647;7293;5955;7603;8301;5886;8412;6093;9081;4075;7374;4489;8213;4541;6311;3527;7627;3710;7207;3689;5024
"Ingeniería, arquitectura, urbanismo y afines";INGENIERIA QUIMICA Y AFINES;DESERTORES;0;0;474;171;217;269;232;336;341;326;407;401;334;408;393;438;465;394;490;470;485;463;537;557;555;488;619;471;709;739;980;709;966;912;1051;1028;1223;1084;1029;1120;936;1166;814;1068;941;1137;758;1588;1771;2495;2964;3168;3134;3199
"Ingeniería, arquitectura, urbanismo y afines";OTRAS INGENIERIAS;DESERTORES;0;0;142;141;170;146;215;489;292;528;232;256;268;213;268;741;336;325;335;802;391;326;483;348;389;352;481;604;513;3411;920;1618;1166;868;1055;957;1333;1390;1095;1611;1274;1380;847;1176;710;1321;607;885;609;716;666;645;623;655
Matemáticas y ciencias naturales;"BIOLOGIA, MICROBIOLOGIA Y AFINES";DESERTORES;0;0;168;166;254;295;290;404;519;558;497;599;629;700;881;1048;921;972;1036;1431;1232;1176;1361;1359;1393;1244;1417;1286;1394;1421;1303;1197;1277;1323;1443;1266;1275;1209;1801;1518;1480;1273;1159;1216;1260;1152;1012;985;1373;1309;1586;1262;1371;1229
Matemáticas y ciencias naturales;FISICA;DESERTORES;0;0;32;34;66;86;81;129;180;174;177;207;165;200;189;192;167;211;211;237;217;225;296;264;247;279;295;240;318;334;321;316;278;301;370;326;369;342;532;424;392;432;431;459;384;265;221;342;399;364;460;362;551;435
Matemáticas y ciencias naturales;"GEOLOGIA, OTROS PROGRAMAS DE CIENCIAS NATURALES";DESERTORES;0;0;12;4;13;10;17;27;37;43;48;45;46;81;91;94;96;88;104;91;71;83;84;66;71;77;74;79;96;68;145;65;326;295;432;276;602;876;230;1107;555;1190;147;1039;133;958;101;592;156;231;157;160;172;154
Matemáticas y ciencias naturales;"MATEMATICAS, ESTADISTICA Y AFINES";DESERTORES;0;0;38;80;88;150;248;375;374;381;298;299;303;432;415;516;451;422;507;542;658;581;674;592;570;599;799;647;750;707;683;738;729;637;703;679;749;673;909;782;752;756;705;792;773;646;480;541;792;693;768;860;903;857
Matemáticas y ciencias naturales;QUIMICA Y AFINES;DESERTORES;0;0;40;46;53;92;186;323;244;345;262;318;273;310;389;421;351;412;451;632;477;440;658;641;532;528;658;587;658;751;853;861;1083;1677;1045;955;1488;1815;1086;1352;908;1331;1001;1288;966;1127;703;1020;913;1250;956;1380;1031;1250
Sin Clasificar;SIN CLASIFICAR;DESERTORES;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;0;0;51;1105;1416;9102;7722;24250;14402;47515
Sin informaci¿n;Sin informaci¿n;MATRICULADOS;1226;1545;1916;2001;2534;2362;2711;3244;3152;3927;4471;4096;2115;2140;2416;1391;1406;1371;77;354;568;219;240;185;215;348;88;79;127;129;122;138;134;109;139;94;153;109;;;;;;;;;;;;;;34;28;7201
Agronomía veterinaria y afines;AGRONOMIA;MATRICULADOS;872;868;962;1084;1336;1425;1602;1509;1771;1712;2101;1939;2315;2425;2529;2557;2873;2847;3773;3760;4288;4121;5824;5800;6297;6642;11669;14196;14332;19206;16035;20030;14125;17372;17333;16750;16143;17318;17089;17867;16580;18661;16356;18406;15907;16567;15960;17105;15064;16089;14440;15951;11652;13784
Agronomía veterinaria y afines;ZOOTECNIA;MATRICULADOS;948;1109;1578;1666;2209;2021;3071;3211;3869;4141;4678;5011;5254;5490;5007;4220;5093;5135;5989;6252;6204;6345;6928;6775;7003;6739;7987;7733;9145;9234;10040;9886;9630;9169;9763;8812;9140;9093;9313;9168;8946;9626;10002;10527;10105;10453;11101;11723;11146;11877;11326;12233;9875;11464
Agronomía veterinaria y afines;MEDICINA VETERINARIA;MATRICULADOS;1392;1611;2009;2283;2776;2952;3721;3852;4680;5057;5491;5810;6231;6417;6771;6929;7196;7399;8537;8741;9120;9124;9609;9698;10132;10007;10494;9983;10953;10241;11637;11789;12328;12544;13279;13157;14525;14361;15160;15315;15679;15689;16279;16214;15876;13604;17441;17827;17901;18582;18855;18868;16622;17391
Bellas artes;"ARTES PLASTICAS, VISUALES Y AFINES";MATRICULADOS;668;919;1206;1324;1687;1852;2140;2514;2898;3183;3620;3840;4245;4410;4704;4631;4849;4857;5859;5965;6296;6428;6534;6689;7085;7412;8524;8037;9595;8747;9130;9418;9917;10035;10519;10490;10832;10959;11651;11687;11831;11772;11801;11814;11856;10932;12760;12399;13189;13676;13670;14267;12013;13049
Bellas artes;ARTES REPRESENTATIVAS;MATRICULADOS;12;86;43;112;61;119;152;192;225;236;375;248;198;341;445;319;525;315;511;430;530;403;617;591;723;502;855;676;1035;889;1125;1177;1249;1221;1407;1608;1809;2032;2022;2134;2062;2227;2289;2588;2764;2792;2902;2909;2941;3255;2814;3030;2316;2650
Bellas artes;PUBLICIDAD Y AFINES;MATRICULADOS;2860;2821;3384;3412;3781;3871;4307;4502;5079;5352;5920;6086;6485;6437;6584;6563;6665;6312;6717;7363;8415;9249;9364;8908;9488;9131;9418;9105;9265;9349;9124;8715;8463;8183;8051;7807;7781;6798;6419;6017;5777;5554;5438;5334;6494;7627;9056;10137;10853;11929;11356;12109;8981;10841
Bellas artes;DISEÑO;MATRICULADOS;2169;2499;3483;3802;4934;5636;6859;7730;8991;9645;11318;12024;13295;13923;14845;15504;16414;16541;22350;23085;25977;26342;28088;29791;31402;31640;36149;35819;39189;38607;41417;42190;41435;40516;41051;40252;38101;38132;37158;36407;34881;35832;34604;35332;32523;29253;30900;32216;33641;34342;35404;35495;28525;30383
Bellas artes;MUSICA;MATRICULADOS;347;351;517;650;924;1092;1158;1482;1505;1754;2017;2054;2222;2263;2465;2403;2452;2506;2760;2940;3175;3248;3516;3813;3961;4190;4378;4181;4707;4923;5033;5030;5245;5304;5552;5601;5992;6074;6080;6577;6909;7114;7392;7614;7673;7202;8097;8127;8214;8041;7708;7948;6797;7142
Bellas artes;OTROS PROGRAMAS ASOCIADOS A BELLAS ARTES;MATRICULADOS;;;;;;;;;;15;19;23;35;48;84;96;159;160;219;252;309;465;536;579;859;894;1936;2217;3241;3482;4603;5317;5544;5410;6336;5494;4644;5615;5100;5580;5057;5741;5283;6010;5134;4848;4536;4691;3952;4325;3729;4119;3007;3376
Ciencias de la educación;EDUCACION;MATRICULADOS;23409;21939;28819;32066;36378;38088;42664;42412;48327;49613;53200;55806;55377;60535;63748;66222;72457;76119;88538;93662;101376;104788;110154;113588;117460;116917;128751;126030;134388;136352;141771;147723;152292;154634;162760;161885;165858;164118;161272;156906;151384;146681;145677;144675;142442;134683;145759;138693;146076;146130;148411;147058;127249;134186
Ciencias de la salud;BACTERIOLOGIA;MATRICULADOS;737;689;869;1020;1791;1985;2521;2812;3479;3831;4837;5111;5546;5591;6153;6189;6304;6043;6287;6235;6152;6033;6196;6009;6065;5808;5744;5564;5491;4792;5189;5033;4828;4405;4977;4590;4474;4506;4489;4451;4520;4585;4632;4543;4640;4250;5009;4989;5352;5402;5439;5499;4906;4936
Ciencias de la salud;ENFERMERIA;MATRICULADOS;1713;2456;3310;4069;5131;5995;7137;8007;8682;9564;10405;10990;11560;10922;12365;12747;13537;13508;15123;16050;17119;17375;18357;18757;19341;20113;21108;21046;21736;21177;21696;21996;22375;21999;22202;21909;22789;22778;23315;23538;23521;23597;23903;23489;23680;21122;23640;23189;23476;24343;23942;23993;20935;21548
Ciencias de la salud;TERAPIAS;MATRICULADOS;3398;3974;4252;4832;5949;6530;7821;8225;8697;9019;10195;10386;10478;10337;10497;10883;11147;11413;12671;12941;13425;13260;13524;13269;14042;13778;14156;14997;13874;15448;15993;17200;17707;17745;19090;19523;19937;21372;21725;22060;22088;23409;23037;23545;22707;21525;23256;24393;24741;25728;25256;25574;21753;22379
