ACADE;FINAN;CI_RECI;TIPO;1998-1;1998-2;1999-1;1999-2;2000-1;2000-2;2001-1;2001-2;2002-1;2002-2;2003-1;2003-2;2004-1;2004-2;2005-1;2005-2;2006-1;2006-2;2007-1;2007-2;2008-1;2008-2;2009-1;2009-2;2010-1;2010-2;2011-1;2011-2;2012-1;2012-2;2013-1;2013-2;2014-1;2014-2;2015-1;2015-2;2016-1;2016-2;2017-1;2017-2;2018-1;2018-2;2019-1;2019-2;2020-1;2020-2;2021-1;2021-2;2022-1;2022-2;2023-1;2023-2;2024-1;2024-2
1 a 3;4 a 6;4 a 6;MATRICULADOS;3;5;5;6;11;14;20;25;43;49;70;96;158;203;219;268;383;463;583;601;773;789;1020;1060;1236;1370;1645;1749;1860;1929;2134;2262;2472;2760;2985;2809;2675;2555;2369;2174;1944;1743;1428;1141;902;792;765;670;673;590;587;487;387;310
1 a 3;4 a 6;M¿s de 7;MATRICULADOS;2;1;2;3;2;4;4;5;11;14;24;38;80;111;178;235;322;402;541;642;797;908;1091;1178;1346;1428;1671;1787;1933;2043;2088;1974;1871;1686;1529;1373;1175;936;671;484;311;236;186;158;144;132;131;118;111;109;112;103;86;63
1 a 3;M¿s de 7;Sin Informaci¿n;MATRICULADOS;;1;1;;;1;2;3;6;9;14;19;22;26;36;42;51;58;69;71;91;107;124;146;174;196;220;273;334;406;545;665;666;647;621;593;572;526;457;396;301;207;141;110;77;65;58;41;48;35;31;29;14;8
1 a 3;M¿s de 7;Ninguno;MATRICULADOS;51;96;157;164;227;284;415;489;645;686;1036;1401;1699;2475;3092;3868;5133;6081;7177;7817;9684;10916;12424;13753;15526;15495;19301;22689;29136;33356;40446;46265;53610;58123;65970;71293;80855;86144;85940;89698;95493;95709;99315;100476;101127;95608;95921;87605;82240;73368;63037;54140;44893;34729
1 a 3;M¿s de 7;1 a 3;MATRICULADOS;3;4;5;7;9;15;19;31;56;70;90;100;120;167;197;237;299;325;382;416;527;581;677;746;843;878;1049;1216;1517;1709;1914;2054;2224;2378;2718;2949;3323;3420;3246;3100;3013;2842;2649;2443;2182;1922;1647;1320;1161;962;772;632;513;382
1 a 3;M¿s de 7;4 a 6;MATRICULADOS;1;1;4;3;4;6;7;13;17;26;36;44;65;77;108;126;164;192;224;242;302;339;420;453;528;565;668;809;974;1075;1250;1450;1686;1968;2339;2291;2240;2159;2013;1930;1801;1610;1374;1128;831;630;513;405;339;281;205;185;135;102
1 a 3;M¿s de 7;M¿s de 7;MATRICULADOS;;;1;1;2;4;9;12;20;19;26;35;79;101;158;206;348;410;588;709;879;999;1280;1402;1650;1832;2250;2630;3085;3318;3468;3340;3121;2967;2769;2470;2124;1684;1150;764;467;330;226;182;142;112;90;88;73;62;51;47;34;33
4 a 6;Sin Informaci¿n;Sin Informaci¿n;MATRICULADOS;;;;;;;;;;1;1;1;6;7;12;12;14;15;17;16;18;17;17;18;21;23;25;28;34;40;41;50;45;43;41;38;33;26;23;18;14;9;3;5;6;6;4;2;5;5;3;2;1;2
4 a 6;Sin Informaci¿n;Ninguno;MATRICULADOS;5;8;10;11;15;23;25;30;35;40;51;64;81;89;114;128;171;184;193;196;222;246;277;325;398;443;522;585;693;794;1059;1238;1582;1742;2125;2314;3144;3498;4031;4366;5010;5386;6082;6492;7158;7115;8347;8783;8270;7654;7055;6124;5190;4246
4 a 6;Sin Informaci¿n;1 a 3;MATRICULADOS;;1;2;3;3;3;7;7;8;10;11;11;10;8;11;12;13;14;13;19;17;23;32;35;44;48;51;54;59;62;78;80;92;99;149;183;247;264;269;259;258;254;247;247;221;183;147;124;110;89;75;59;49;40
4 a 6;Sin Informaci¿n;4 a 6;MATRICULADOS;;;1;1;1;1;1;1;2;2;2;2;4;5;5;6;6;6;6;9;8;10;12;25;29;32;39;41;54;62;83;99;132;193;256;246;238;230;227;216;200;187;150;111;69;41;36;39;30;29;22;19;18;15
4 a 6;Sin Informaci¿n;M¿s de 7;MATRICULADOS;;;;;;;;;;;1;2;9;17;20;20;24;29;38;44;60;67;71;73;82;85;101;115;132;138;148;135;128;119;114;106;96;74;51;39;22;22;18;13;7;4;6;8;5;6;6;6;5;5
4 a 6;Ninguno;Sin Informaci¿n;MATRICULADOS;3;3;5;5;5;6;7;7;7;10;9;11;10;13;16;22;21;23;29;28;38;45;49;53;59;63;79;90;100;114;145;185;177;179;166;158;148;142;124;115;97;53;40;24;13;10;6;9;6;7;7;6;5;5
4 a 6;Ninguno;Ninguno;MATRICULADOS;2295;2445;2841;3007;3065;2735;2692;2818;2984;3234;3494;3630;3904;4071;4365;4233;4224;4151;3732;4202;5038;5849;6578;6761;7378;7631;8097;8553;9234;9809;10953;11986;13588;14392;16309;16901;18579;19816;20852;21047;21441;20688;20446;19746;19247;17281;19689;20721;22845;24388;25328;23561;21777;19233
4 a 6;Ninguno;1 a 3;MATRICULADOS;58;66;81;84;90;87;93;94;100;106;130;140;165;173;191;185;196;180;182;195;226;272;309;308;356;388;426;452;512;560;598;647;740;807;1012;1121;1291;1283;1263;1198;1126;1021;933;800;620;407;305;215;179;154;137;116;95;81
4 a 6;Ninguno;4 a 6;MATRICULADOS;2;1;6;8;13;13;22;29;38;40;55;64;91;94;109;117;132;129;132;149;176;195;239;241;303;305;382;423;444;464;509;576;659;797;926;885;834;780;735;686;618;517;415;307;169;100;80;57;55;49;44;30;31;26
4 a 6;Ninguno;M¿s de 7;MATRICULADOS;4;3;5;4;7;5;8;8;12;12;14;18;42;60;75;95;104;108;116;135;150;175;201;188;219;248;331;394;473;507;561;548;540;520;491;432;383;334;250;179;125;80;58;39;32;27;24;17;14;13;13;10;8;8
4 a 6;1 a 3;Sin Informaci¿n;MATRICULADOS;1;1;1;1;1;1;1;;1;1;2;2;8;9;15;15;17;23;24;29;35;39;46;46;56;62;69;82;85;100;137;223;209;221;214;208;207;205;192;177;149;94;63;48;43;36;32;22;22;18;15;8;9;8
4 a 6;1 a 3;Ninguno;MATRICULADOS;79;116;194;240;274;324;419;397;378;365;646;735;962;1174;1452;1556;1762;1868;1950;2149;2517;2940;3660;4436;4685;4763;5660;5969;5989;7244;7473;8325;9819;11755;13161;14950;19416;22124;26623;28780;32216;34485;38469;39802;41847;38640;41571;39789;39221;37479;36126;31614;27225;23351
