target
4.72
4.79
5.52
4.55
4.98
4.82
5.04
7.3
1.36
4.3
4.28
4.22
4.56
4.92
4.88
4.37
5.51
4.55
4.76
4.62
3.37
3.67
4.06
3.98
4.18
3.96
4.09
3.86
4.75
4.62
4.39
4.48
4.5
3.88
4.12
3.79
3.89
4.65
6.51
4.4
4.4
4.63
2.91
1.92
4.29
3.76
3.03
7.85
6.52
7.47
8.81
9.62
6.73
7.02
19.52
1.28
6.39
6.73
7.19
9.71
7.84
7.83
9.35
8.98
8.32
8.51
11.17
8.37
7.29
9.06
6.88
7.25
6.39
7.64
6.7
6.85
6.55
6.5
6.39
5.19
6.97
7.12
7.83
7.85
7.48
7.39
7.22
63.86
12.11
1.06
3.16
7.42
7.23
6.19
3.22
4.44
5.02
5.04
5.63
4.39
5.93
10.67
1.19
4.98
5.94
4.32
4.84
9.88
5.72
9.42
4.45
5.05
9.41
5.29
3.62
4.67
5.34
4.77
5.05
4.89
4.37
5.13
5.39
5.59
4.3
4.56
4.7
4.22
5.21
5.4
5.18
6.18
5.8
5.34
5.2
3.83
3.99
2.57
6.41
5.91
4.42
15.03
19.09
15.08
14.37
6.96
16.87
1.78
11.41
8.9
8.94
10.97
8.96
7.39
8.4
6.96
5.05
100.0
9.28
0.0
10.9
2.41
6.74
5.72
4.94
5.15
5.3
5.41
5.41
5.83
5.18
3.41
3.97
5.08
4.17
4.81
4.62
5.99
5.24
5.9
6.07
4.73
5.11
2.6
4.13
5.84
7.43
4.93
6.43
6.35
5.45
5.96
6.42
4.87
4.8
4.5
4.39
4.15
4.45
5.19
6.12
5.32
5.19
4.36
5.37
4.94
7.12
8.6
6.59
7.15
7.15
7.98
6.12
7.87
7.83
6.58
12.97
9.72
6.92
7.16
7.44
7.87
6.15
6.45
6.7
6.84
7.44
7.93
7.32
9.09
4.34
5.69
6.24
7.72
5.92
15.72
8.55
6.43
5.07
5.83
6.26
5.64
5.93
6.48
6.51
7.5
6.34
5.09
5.65
6.31
5.72
7.05
5.95
7.94
5.77
5.41
6.09
5.81
5.4
6.39
7.53
6.59
5.77
4.99
6.45
6.58
5.83
5.8
7.4
7.36
8.05
9.67
6.0
4.98
5.37
4.78
5.42
4.15
5.73
5.69
5.14
6.89
29.54
7.31
4.14
100.0
100.0
100.0
78.5
4.56
8.27
11.93
7.58
8.3
9.46
7.33
3.16
3.3
5.88
5.22
5.16
4.85
3.9
6.52
6.52
5.05
4.49
9.63
4.98
5.19
4.48
4.05
6.25
3.92
5.6
4.59
5.43
3.94
5.18
4.79
4.4
4.75
3.45
4.41
3.85
5.18
5.03
4.92
5.17
38.39
8.66
3.39
91.75
9.86
7.75
9.34
6.76
6.69
9.98
8.59
12.53
9.76
5.11
2.61
6.17
7.24
8.64
6.34
4.16
4.74
5.62
4.3
5.05
5.85
12.11
4.96
3.77
4.0
3.33
4.13
2.06
3.65
3.48
4.82
3.04
4.38
3.59
3.96
2.97
2.54
4.03
2.04
3.7
3.29
3.69
6.23
57.52
18.26
2.3
10.77
58.99
7.59
9.23
3.58
4.35
5.95
4.9
3.56
7.1
3.72
6.44
6.32
8.01
6.47
8.06
7.5
6.21
7.44
5.38
5.2
5.83
8.89
4.65
5.43
4.09
5.33
7.29
5.76
4.16
5.16
8.56
6.27
6.75
5.45
4.8
8.02
4.51
5.85
1.76
7.52
21.03
9.03
10.91
0.0
0.0
0.0
0.0
6.99
12.1
9.72
15.45
13.35
23.95
19.55
18.21
14.42
11.28
8.82
11.43
6.84
8.2
7.32
8.2
6.18
6.14
5.91
7.06
6.38
5.05
4.33
7.28
5.5
4.61
5.89
5.38
8.57
6.86
5.56
6.68
5.25
7.59
5.65
42.81
11.58
3.77
11.66
10.93
5.48
6.3
8.2
10.72
11.41
15.28
25.06
8.5
8.53
10.41
22.44
10.57
14.99
10.0
9.55
8.89
7.57
10.58
9.47
10.63
8.32
8.38
7.67
9.13
8.03
7.78
8.87
7.03
4.7
4.49
7.28
6.62
6.09
7.39
6.73
11.28
