lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
39.22,85.23,100.0,20.22,2,Institución tecnológica,No oficial,norte de santander,cucuta
85.23,100.0,20.22,42.67,1,Institución tecnológica,No oficial,norte de santander,cucuta
100.0,20.22,42.67,16.59,2,Institución tecnológica,No oficial,norte de santander,cucuta
20.22,42.67,16.59,8.41,1,Institución tecnológica,No oficial,norte de santander,cucuta
42.67,16.59,8.41,5.74,2,Institución tecnológica,No oficial,norte de santander,cucuta
16.59,8.41,5.74,16.64,1,Institución tecnológica,No oficial,norte de santander,cucuta
8.41,5.74,16.64,17.04,2,Institución tecnológica,No oficial,norte de santander,cucuta
5.74,16.64,17.04,58.77,1,Institución tecnológica,No oficial,norte de santander,cucuta
16.64,17.04,58.77,19.41,2,Institución tecnológica,No oficial,norte de santander,cucuta
17.04,58.77,19.41,13.43,1,Institución tecnológica,No oficial,norte de santander,cucuta
58.77,19.41,13.43,14.57,2,Institución tecnológica,No oficial,norte de santander,cucuta
19.41,13.43,14.57,16.16,1,Institución tecnológica,No oficial,norte de santander,cucuta
13.43,14.57,16.16,18.47,2,Institución tecnológica,No oficial,norte de santander,cucuta
14.57,16.16,18.47,16.39,1,Institución tecnológica,No oficial,norte de santander,cucuta
16.16,18.47,16.39,16.15,2,Institución tecnológica,No oficial,norte de santander,cucuta
18.47,16.39,16.15,15.95,1,Institución tecnológica,No oficial,norte de santander,cucuta
16.39,16.15,15.95,13.88,2,Institución tecnológica,No oficial,norte de santander,cucuta
16.15,15.95,13.88,14.68,1,Institución tecnológica,No oficial,norte de santander,cucuta
15.95,13.88,14.68,13.93,2,Institución tecnológica,No oficial,norte de santander,cucuta
13.88,14.68,13.93,16.42,1,Institución tecnológica,No oficial,norte de santander,cucuta
14.68,13.93,16.42,15.08,2,Institución tecnológica,No oficial,norte de santander,cucuta
13.93,16.42,15.08,13.81,1,Institución tecnológica,No oficial,norte de santander,cucuta
16.42,15.08,13.81,16.25,2,Institución tecnológica,No oficial,norte de santander,cucuta
15.08,13.81,16.25,13.22,1,Institución tecnológica,No oficial,norte de santander,cucuta
13.81,16.25,13.22,13.34,2,Institución tecnológica,No oficial,norte de santander,cucuta
16.25,13.22,13.34,21.79,1,Institución tecnológica,No oficial,norte de santander,cucuta
