lag4,lag3,lag2,lag1,semestre,CARACTER,ORIGEN,DEPARTAMENTO,MUNICIPIO
13.31,14.87,13.35,11.05,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
14.87,13.35,11.05,11.31,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
13.35,11.05,11.31,13.61,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
11.05,11.31,13.61,9.67,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
11.31,13.61,9.67,7.16,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
13.61,9.67,7.16,13.99,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
9.67,7.16,13.99,10.31,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
7.16,13.99,10.31,12.34,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
13.99,10.31,12.34,9.65,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
10.31,12.34,9.65,8.51,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
12.34,9.65,8.51,11.39,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
9.65,8.51,11.39,27.68,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
8.51,11.39,27.68,18.1,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
11.39,27.68,18.1,17.29,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
27.68,18.1,17.29,8.19,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
18.1,17.29,8.19,9.75,2,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
17.29,8.19,9.75,16.93,1,Institución universitaria/Escuela Tecnológica,No oficial,valle del cauca,cali
